Source Name,Source Type,Tier 1,Tier 2,Tier 3,Population Index,overlap_uniques
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Engagers,Technology & Computing,,1.42,224
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Engagers,Travel,,1.16,162
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Demographics,Age,18 - 24,1.07,"2,014"
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Demographics,Age,25 - 34,2.08,"5,623"
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Demographics,Age,35 - 44,2.29,"4,549"
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Demographics,Age,45 - 54,2.21,"3,173"
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Demographics,Age,55 - 64,1.7,"2,243"
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Demographics,Age,65+,1.46,"2,816"
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Demographics,Education,Other,1.94,"3,790"
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Demographics,Education,Post Grad,1.18,"3,914"
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Demographics,Education,Secondary,1.14,"2,210"
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Demographics,Education,University,1.61,"5,442"
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Demographics,Education,Vocational,2.2,"2,881"
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Demographics,Employment Status,Employed,1.99,"8,270"
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Demographics,Employment Status,Student,1.06,"4,676"
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Demographics,Employment Status,Unemployed,2.31,"1,623"
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Demographics,Gender,Female,0.96,"6,358"
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Demographics,Gender,Male,1.37,"9,164"
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Demographics,Relationship Status,Co-habiting,0.69,488
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Demographics,Relationship Status,Married,1.65,"8,569"
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Demographics,Relationship Status,Single,1,"6,407"
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Demographics,Social Class,AB,0.63,"1,862"
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Demographics,Social Class,C1,0.66,"1,258"
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Demographics,Social Class,C2,0.73,"1,082"
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Demographics,Social Class,D,1.53,"1,441"
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Demographics,Social Class,E,3.93,51
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Site Visitors,Automotive,,1.04,"1,067"
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Site Visitors,Education,,1.3,"2,024"
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Site Visitors,Family & Parenting,,1.45,734
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Site Visitors,Food & Drink,,1.22,"2,775"
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Site Visitors,Health & Fitness,,2.15,"3,929"
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Site Visitors,Hobbies & Interests,,1.66,"2,991"
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Site Visitors,Home & Garden,,3.07,"2,959"
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Site Visitors,"Law, Gov't and Politics",,0.99,"2,050"
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Site Visitors,News,,1.4,771
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Site Visitors,Personal Finance,,3.65,"3,073"
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Site Visitors,Pets,,1.23,672
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Site Visitors,Real Estate,,3.51,"1,283"
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Site Visitors,Religion & Spirituality,,1.12,682
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Site Visitors,Science,,2,620
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Site Visitors,Shopping,,1.61,"5,028"
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Site Visitors,Society,,1.75,"1,019"
