pixel_name,Device,Hour,Users
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#HP#,Desktop,5,"2,074"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#HP#,Desktop,6,"4,637"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#HP#,Desktop,7,"9,460"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#HP#,Desktop,8,"14,395"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#HP#,Desktop,9,"17,105"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#HP#,Desktop,10,"18,447"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#HP#,Desktop,11,"19,095"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#HP#,Desktop,12,"20,465"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#HP#,Desktop,13,"19,540"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#HP#,Desktop,14,"20,272"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#HP#,Desktop,15,"20,838"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#HP#,Desktop,16,"17,291"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#HP#,Desktop,17,"14,557"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#HP#,Desktop,18,"15,638"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#HP#,Desktop,19,"17,721"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#HP#,Desktop,20,"18,228"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#HP#,Desktop,21,"14,416"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#HP#,Desktop,22,"9,829"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#HP#,Desktop,23,"4,652"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#HP#,Mobile,0,"1,419"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#HP#,Mobile,1,711
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#HP#,Mobile,2,470
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#HP#,Mobile,3,302
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#HP#,Mobile,4,671
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#HP#,Mobile,5,"1,693"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#HP#,Mobile,6,"3,182"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#HP#,Mobile,7,"4,154"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#HP#,Mobile,8,"4,257"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#HP#,Mobile,9,"4,096"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#HP#,Mobile,10,"4,155"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#HP#,Mobile,11,"4,143"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#HP#,Mobile,12,"4,373"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#HP#,Mobile,13,"4,645"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#HP#,Mobile,14,"5,165"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#HP#,Mobile,15,"6,113"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#HP#,Mobile,16,"7,010"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#HP#,Mobile,17,"8,524"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#HP#,Mobile,18,"10,591"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#HP#,Mobile,19,"14,222"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#HP#,Mobile,20,"15,254"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#HP#,Mobile,21,"12,948"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#HP#,Mobile,22,"8,576"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#HP#,Mobile,23,"3,392"
ADV_BMW_AutoMotive_Buying/Selling Cars_UK_BMW_Aftersales_CP,Desktop,0,6
ADV_BMW_AutoMotive_Buying/Selling Cars_UK_BMW_Aftersales_CP,Desktop,1,2
ADV_BMW_AutoMotive_Buying/Selling Cars_UK_BMW_Aftersales_CP,Desktop,2,3
ADV_BMW_AutoMotive_Buying/Selling Cars_UK_BMW_Aftersales_CP,Desktop,3,2
ADV_BMW_AutoMotive_Buying/Selling Cars_UK_BMW_Aftersales_CP,Desktop,4,1
ADV_BMW_AutoMotive_Buying/Selling Cars_UK_BMW_Aftersales_CP,Desktop,5,3
